SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
RIVERVALE COURT,"1.38180761026047,103.900893229708",NORTH VISTA PRIMARY SCHOOL,"1.38282243016299,103.895961877928",991,"1.28393326234538,103.851463066212",36.2,RIVERVALE PLAZA,618,BUANGKOK MRT STATION (NE15),1165,102 RIVERVALE WALK
HWI YOH COURT,"1.37084327297737,103.871153606719",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",716,"1.28393326234538,103.851463066212",35.85,MYVILLAGE AT SERANGOON GARDEN,1586,KOVAN MRT STATION (NE13),2585,102 SERANGOON NTH AVE 1
102 SIMEI STREET 1 SINGAPORE 520102,"1.34134724976252,103.951355074928",CHANGKAT PRIMARY SCHOOL,"1.34023163951633,103.952080114035",193,"1.28393326234538,103.851463066212",30.25,EASTPOINT MALL,306,SIMEI MRT STATION (EW3),462,102 SIMEI ST 1
102 TAMPINES STREET 11 SINGAPORE 521102,"1.34671616267656,103.945521388285",TAMPINES PRIMARY SCHOOL,"1.34977870805929,103.944004684986",505,"1.28393326234538,103.851463066212",35.93333333,TAMPINES MALL,823,TAMPINES WEST MRT STATION (DT31),1016,102 TAMPINES ST 11
102 TECK WHYE LANE SINGAPORE 680102,"1.377082841385,103.754394432037",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",1126,"1.28393326234538,103.851463066212",39.18333333,TECK WHYE SHOPPING CENTRE,521,BUKIT PANJANG MRT STATION (DT1),897,102 TECK WHYE LANE
102 TOWNER ROAD SINGAPORE 322102,"1.32058609456907,103.862002015145",BENDEMEER PRIMARY SCHOOL,"1.32181250780475,103.865404167629",628,"1.28393326234538,103.851463066212",11.28333333,APERIA,1499,BOON KENG MRT STATION (NE9),173,102 TOWNER RD
102 WOODLANDS STREET 13 SINGAPORE 730102,"1.43608294925148,103.781199565987",SI LING PRIMARY SCHOOL,"1.43240935732525,103.786035065192",1002,"1.28393326234538,103.851463066212",47.31666667,MARSILING MALL HAWKER CENTRE,711,WOODLANDS MRT STATION (TE2),1019,102 WOODLANDS ST 13
102A PUNGGOL FIELD SINGAPORE 821102,"1.39883318313425,103.905783553043",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",485,"1.28393326234538,103.851463066212",34.2,RIVERVALE MALL,1196,SENGKANG MRT STATION (NE16),1853,102A PUNGGOL FIELD
102B PUNGGOL FIELD SINGAPORE 822102,"1.39908525778671,103.905471407838",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",508,"1.28393326234538,103.851463066212",33.96666667,RIVERVALE MALL,1156,SENGKANG MRT STATION (NE16),1812,102B PUNGGOL FIELD
102C PUNGGOL FIELD SINGAPORE 823102,"1.39876127750607,103.90493897318",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",606,"1.28393326234538,103.851463066212",35.43333333,RIVERVALE MALL,1094,SENGKANG MRT STATION (NE16),1750,102C PUNGGOL FIELD
102D PUNGGOL FIELD SINGAPORE 824102,"1.39848070795436,103.905249752459",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",554,"1.28393326234538,103.851463066212",35.7,RIVERVALE MALL,1142,SENGKANG MRT STATION (NE16),1799,102D PUNGGOL FIELD
AH HOOD GARDENS,"1.32796267483785,103.844826964123",CHIJ PRIMARY (TOA PAYOH),"1.33275264711587,103.841847263786",1549,"1.28393326234538,103.851463066212",19.88333333,ZHONGSHAN MALL,392,TOA PAYOH MRT STATION (NS19),1139,103 AH HOOD RD
KEBUN BARU HEIGHTS,"1.37101657804604,103.839304839187",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",311,"1.28393326234538,103.851463066212",29.15,BROADWAY PLAZA,1012,ANG MO KIO MRT STATION (NS16),1383,103 ANG MO KIO AVE 3
PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 103 (KN),"1.33348258777759,103.937542520091",RED SWASTIKA SCHOOL,"1.33324297847732,103.934332314404",427,"1.28393326234538,103.851463066212",29.63333333,DJITSUN MALL BEDOK,1564,BEDOK RESERVOIR MRT STATION (DT30),988,103 BEDOK NTH AVE 4
EUNOS VISTA,"1.32877022232019,103.909381354431",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",571,"1.28393326234538,103.851463066212",33.13333333,SINGAPORE POST CENTRE,3157,KAKI BUKIT MRT STATION (DT28),975,103 BEDOK RESERVOIR RD
BISHAN VIEW,"1.34551249132105,103.848314162387",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",753,"1.28393326234538,103.851463066212",28.15,JUNCTION 8,827,BRADDELL MRT STATION (NS18),2181,103 BISHAN ST 12
103 BUKIT BATOK CENTRAL SINGAPORE 650103,"1.34822368204242,103.748034526478",BUKIT VIEW PRIMARY SCHOOL,"1.34586054788695,103.75366641455",938,"1.28393326234538,103.851463066212",33.75,WEST MALL,495,BUKIT BATOK MRT STATION (NS2),283,103 BT BATOK CTRL
BUKIT PURMEI VILLE,"1.27208558524996,103.825495615402",RADIN MAS PRIMARY SCHOOL,"1.27495823622634,103.824188270373",543,"1.28393326234538,103.851463066212",17.46666667,VIVOCITY,1382,HARBOURFRONT MRT STATION (NE1 / CC29),1260,103 BT PURMEI RD
SUNSET WAY RESIDENCE,"1.32258854750628,103.769176205799",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",1604,"1.28393326234538,103.851463066212",30.93333333,THE CLEMENTI MALL,1887,CLEMENTI MRT STATION (EW23),1812,103 CLEMENTI ST 14
103 GANGSA ROAD SINGAPORE 670103,"1.37867070821171,103.768538440957",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",443,"1.28393326234538,103.851463066212",37.86666667,BUKIT PANJANG PLAZA,751,BUKIT PANJANG MRT STATION (DT1),1062,103 GANGSA RD
103 HENDERSON CRESCENT SINGAPORE 150103,"1.28974209684545,103.821375681569",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",611,"1.28393326234538,103.851463066212",14.08333333,TIONG BAHRU PLAZA,962,REDHILL MRT STATION (EW18),844,103 HENDERSON CRES
103 HOUGANG AVENUE 1 SINGAPORE 530103,"1.35528223434405,103.89036014824",XINGHUA PRIMARY SCHOOL,"1.35790893589535,103.890472887906",449,"1.28393326234538,103.851463066212",30.2,HEARTLAND MALL-KOVAN,965,KOVAN MRT STATION (NE13),1099,103 HOUGANG AVE 1
103 JALAN RAJAH SINGAPORE 321103,"1.32734143333539,103.852780650365",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",1293,"1.28393326234538,103.851463066212",28.7,ZHONGSHAN MALL,938,TOA PAYOH MRT STATION (NS19),1145,103 JLN RAJAH
JURONG EAST VILLE,"1.33668715015786,103.738059200285",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",183,"1.28393326234538,103.851463066212",32,JCUBE,670,JURONG EAST MRT STATION (EW24 / NS1),823,103 JURONG EAST ST 13
KEMBANGAN GARDENS,"1.32585546338587,103.910598910975",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",1155,"1.28393326234538,103.851463066212",25.31666667,SINGAPORE POST CENTRE,2611,KEMBANGAN MRT STATION (EW6),690,103 LENGKONG TIGA
103 PASIR RIS STREET 12 SINGAPORE 510103,"1.36769508123853,103.958404209993",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",514,"1.28393326234538,103.851463066212",44.5,LOYANG POINT,1009,PASIR RIS MRT STATION (EW1),1454,103 PASIR RIS ST 12
103 POTONG PASIR AVENUE 1 SINGAPORE 350103,"1.33411338676706,103.86952371664",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",737,"1.28393326234538,103.851463066212",18.53333333,THE POIZ CENTRE,470,POTONG PASIR MRT STATION (NE10),382,103 POTONG PASIR AVE 1
RIVERVALE COURT,"1.3829114767018,103.901208581138",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",712,"1.28393326234538,103.851463066212",36.7,RIVERVALE PLAZA,483,BUANGKOK MRT STATION (NE15),1204,103 RIVERVALE WALK
HWI YOH COURT,"1.37065548702787,103.870268931156",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",859,"1.28393326234538,103.851463066212",35.78333333,MYVILLAGE AT SERANGOON GARDEN,1538,KOVAN MRT STATION (NE13),2641,103 SERANGOON NTH AVE 1
SPOTTISWOODE PARK ESTATE,"1.27466096925721,103.835279824837",CANTONMENT PRIMARY SCHOOL,"1.27547252623201,103.839962631748",1082,"1.28393326234538,103.851463066212",15.9,100 AM,1194,OUTRAM PARK MRT STATION,965,103 SPOTTISWOODE PK RD
103 TAMPINES STREET 11 SINGAPORE 520103,"1.34769662535556,103.946229920882",TAMPINES PRIMARY SCHOOL,"1.34977870805929,103.944004684986",406,"1.28393326234538,103.851463066212",34.08333333,TAMPINES MALL,723,TAMPINES WEST MRT STATION (DT31),1095,103 TAMPINES ST 11
103 TECK WHYE LANE SINGAPORE 680103,"1.37713078246274,103.753555993761",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",1226,"1.28393326234538,103.851463066212",38.66666667,TECK WHYE SHOPPING CENTRE,528,BUKIT PANJANG MRT STATION (DT1),997,103 TECK WHYE LANE
103 TOWNER ROAD SINGAPORE 322103,"1.32064381512285,103.861634081148",BENDEMEER PRIMARY SCHOOL,"1.32181250780475,103.865404167629",686,"1.28393326234538,103.851463066212",11.83333333,APERIA,1516,BOON KENG MRT STATION (NE9),190,103 TOWNER RD
103 WOODLANDS STREET 13 SINGAPORE 730103,"1.4366212320968,103.78097673981",SI LING PRIMARY SCHOOL,"1.43240935732525,103.786035065192",1032,"1.28393326234538,103.851463066212",48.65,MARSILING MALL HAWKER CENTRE,799,WOODLANDS MRT STATION (TE2),1049,103 WOODLANDS ST 13
103 YISHUN RING ROAD SINGAPORE 760103,"1.43136934951878,103.828892847163",JIEMIN PRIMARY SCHOOL,"1.42768847665227,103.830425490093",577,"1.28393326234538,103.851463066212",42.8,NORTHPOINT CITY,956,YISHUN MRT STATION (NS13),899,103 YISHUN RING RD
DEPOT HEIGHTS,"1.28070197642689,103.813353428682",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",1038,"1.28393326234538,103.851463066212",20.15,ALEXANDRA CENTRAL,1608,REDHILL MRT STATION (EW18),1700,103A DEPOT RD
103A EDGEFIELD PLAINS SINGAPORE 821103,"1.39825531783982,103.904753996381",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",621,"1.28393326234538,103.851463066212",37.56666667,RIVERVALE MALL,985,SENGKANG MRT STATION (NE16),1642,103A EDGEFIELD PLAINS
DEPOT HEIGHTS,"1.28073692384594,103.813135678562",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",1015,"1.28393326234538,103.851463066212",19.86666667,ALEXANDRA CENTRAL,1585,REDHILL MRT STATION (EW18),1677,103B DEPOT RD
103B EDGEFIELD PLAINS SINGAPORE 822103,"1.39773127538403,103.90468537415",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",662,"1.28393326234538,103.851463066212",38.2,RIVERVALE MALL,931,SENGKANG MRT STATION (NE16),1587,103B EDGEFIELD PLAINS
103C EDGEFIELD PLAINS SINGAPORE 823103,"1.39726660845387,103.90453836308",RIVERVALE PRIMARY SCHOOL,"1.39340997767762,103.904559511997",759,"1.28393326234538,103.851463066212",38.61666667,RIVERVALE MALL,907,SENGKANG MRT STATION (NE16),1563,103C EDGEFIELD PLAINS
104 ALJUNIED CRESCENT SINGAPORE 380104,"1.32006886595229,103.882818111651",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",379,"1.28393326234538,103.851463066212",14.55,PAYA LEBAR SQUARE,1549,ALJUNIED MRT STATION (EW9),641,104 ALJUNIED CRES
PEARL GARDEN,"1.3332985212474,103.936601473643",RED SWASTIKA SCHOOL,"1.33324297847732,103.934332314404",320,"1.28393326234538,103.851463066212",28.65,DJITSUN MALL BEDOK,1457,BEDOK RESERVOIR MRT STATION (DT30),882,104 BEDOK NTH AVE 4
EUNOS VISTA,"1.32924536652386,103.909923721507",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",465,"1.28393326234538,103.851463066212",31.78333333,SINGAPORE POST CENTRE,3186,KAKI BUKIT MRT STATION (DT28),865,104 BEDOK RESERVOIR RD
BISHAN VIEW,"1.3456750211197,103.84803290576",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",708,"1.28393326234538,103.851463066212",27.4,JUNCTION 8,782,BRADDELL MRT STATION (NS18),2136,104 BISHAN ST 12
104 BUKIT BATOK CENTRAL SINGAPORE 650104,"1.34899500255547,103.747258218606",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",858,"1.28393326234538,103.851463066212",34.8,WEST MALL,515,BUKIT BATOK MRT STATION (NS2),364,104 BT BATOK CTRL
BUKIT PURMEI VILLE,"1.27239853587858,103.825625504182",RADIN MAS PRIMARY SCHOOL,"1.27495823622634,103.824188270373",427,"1.28393326234538,103.851463066212",16.96666667,VIVOCITY,1497,HARBOURFRONT MRT STATION (NE1 / CC29),1376,104 BT PURMEI RD
SUNSET WAY RESIDENCE,"1.32294968512724,103.769189152266",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",1638,"1.28393326234538,103.851463066212",30.76666667,THE CLEMENTI MALL,1921,CLEMENTI MRT STATION (EW23),1846,104 CLEMENTI ST 14
104 GANGSA ROAD SINGAPORE 670104,"1.37880399486152,103.76796875654",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",489,"1.28393326234538,103.851463066212",36.86666667,BUKIT PANJANG PLAZA,693,BUKIT PANJANG MRT STATION (DT1),992,104 GANGSA RD
104 HENDERSON CRESCENT SINGAPORE 150104,"1.2893692748935,103.821538089569",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",541,"1.28393326234538,103.851463066212",12.73333333,TIONG BAHRU PLAZA,883,REDHILL MRT STATION (EW18),764,104 HENDERSON CRES
AH HOOD GARDENS,"1.32842530547543,103.844142365034",CHIJ PRIMARY (TOA PAYOH),"1.33275264711587,103.841847263786",1318,"1.28393326234538,103.851463066212",19.73333333,BALESTIER HILL SHOPPING CENTRE,546,TOA PAYOH MRT STATION (NS19),908,104 JLN DUSUN
104 JALAN RAJAH SINGAPORE 321104,"1.32780496961457,103.853262284564",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",1246,"1.28393326234538,103.851463066212",27.01666667,ZHONGSHAN MALL,999,TOA PAYOH MRT STATION (NS19),1202,104 JLN RAJAH
JURONG EAST VILLE,"1.33658465311802,103.737623303842",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",113,"1.28393326234538,103.851463066212",32.43333333,JCUBE,668,JURONG EAST MRT STATION (EW24 / NS1),841,104 JURONG EAST ST 13
KEMBANGAN GARDENS,"1.32563496745023,103.909815198327",EUNOS PRIMARY SCHOOL,"1.32447629876368,103.904541254016",882,"1.28393326234538,103.851463066212",26.48333333,SINGAPORE POST CENTRE,2498,KEMBANGAN MRT STATION (EW6),771,104 LENGKONG TIGA
104 PASIR RIS STREET 12 SINGAPORE 510104,"1.36795278578738,103.958702642513",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",449,"1.28393326234538,103.851463066212",43.58333333,LOYANG POINT,944,PASIR RIS MRT STATION (EW1),1427,104 PASIR RIS ST 12
104 POTONG PASIR AVENUE 1 SINGAPORE 350104,"1.3343391689203,103.869158899303",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",678,"1.28393326234538,103.851463066212",19.61666667,THE POIZ CENTRE,429,POTONG PASIR MRT STATION (NE10),446,104 POTONG PASIR AVE 1
RIVERVALE COURT,"1.38262745864985,103.900929877213",NORTH SPRING PRIMARY SCHOOL,"1.38706146494859,103.903202683028",823,"1.28393326234538,103.851463066212",38.51666667,RIVERVALE PLAZA,597,BUANGKOK MRT STATION (NE15),1189,104 RIVERVALE WALK
HWI YOH COURT,"1.37059316193953,103.871086801722",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",774,"1.28393326234538,103.851463066212",36.36666667,MYVILLAGE AT SERANGOON GARDEN,1622,KOVAN MRT STATION (NE13),2627,104 SERANGOON NTH AVE 1
SPOTTISWOODE PARK ESTATE,"1.27442754696062,103.834878784712",CANTONMENT PRIMARY SCHOOL,"1.27547252623201,103.839962631748",1163,"1.28393326234538,103.851463066212",17.03333333,100 AM,1276,OUTRAM PARK MRT STATION,1046,104 SPOTTISWOODE PK RD
104 TAMPINES STREET 11 SINGAPORE 520104,"1.34720576651075,103.946641750013",TAMPINES PRIMARY SCHOOL,"1.34977870805929,103.944004684986",482,"1.28393326234538,103.851463066212",35.16666667,TAMPINES MALL,800,SIMEI MRT STATION (EW3),1467,104 TAMPINES ST 11
104 TECK WHYE LANE SINGAPORE 680104,"1.37708162127187,103.752870448301",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",1249,"1.28393326234538,103.851463066212",39.43333333,TECK WHYE SHOPPING CENTRE,535,BUKIT PANJANG MRT STATION (DT1),1100,104 TECK WHYE LANE
104 TOWNER ROAD SINGAPORE 322104,"1.31982354462646,103.860979745364",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",566,"1.28393326234538,103.851463066212",12.2,APERIA,1410,BOON KENG MRT STATION (NE9),184,104 TOWNER RD
WHAMPOA VIEW,"1.3207995912383,103.853327785421",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",803,"1.28393326234538,103.851463066212",18.63333333,ZHONGSHAN MALL,1186,FARRER PARK MRT STATION,1067,104 WHAMPOA DR
104 WOODLANDS STREET 13 SINGAPORE 730104,"1.43646587087026,103.781576865168",SI LING PRIMARY SCHOOL,"1.43240935732525,103.786035065192",963,"1.28393326234538,103.851463066212",48.08333333,MARSILING MALL HAWKER CENTRE,758,WOODLANDS MRT STATION (TE2),980,104 WOODLANDS ST 13
KEBUN BARU HEIGHTS,"1.37182700854497,103.838803655863",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",407,"1.28393326234538,103.851463066212",30.58333333,BROADWAY PLAZA,1106,ANG MO KIO MRT STATION (NS16),1488,104A ANG MO KIO ST 11
DEPOT HEIGHTS,"1.28045561330579,103.812317740785",BLANGAH RISE PRIMARY SCHOOL,"1.27612047924037,103.808628535239",2020,"1.28393326234538,103.851463066212",20.66666667,ALEXANDRA CENTRAL,1517,TELOK BLANGAH MRT STATION (CC28),2189,104A DEPOT RD
104A EDGEFIELD PLAINS SINGAPORE 821104,"1.3968057047795,103.905054187798",RIVERVALE PRIMARY SCHOOL,"1.39340997767762,103.904559511997",823,"1.28393326234538,103.851463066212",38.01666667,RIVERVALE MALL,970,SENGKANG MRT STATION (NE16),1627,104A EDGEFIELD PLAINS
KEBUN BARU HEIGHTS,"1.37151151416054,103.838458787545",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",388,"1.28393326234538,103.851463066212",30.25,BROADWAY PLAZA,1147,ANG MO KIO MRT STATION (NS16),1518,104B ANG MO KIO ST 11
EASTBROOK @ CANBERRA,"1.45007421711069,103.831377046227",WELLINGTON PRIMARY SCHOOL,"1.45192019155475,103.822303719094",1390,"1.28393326234538,103.851463066212",41.91666667,CANBERRA PLAZA,1062,CANBERRA MRT STATION (NS12),1112,104B CANBERRA ST
DEPOT HEIGHTS,"1.28049143987378,103.812100811742",BLANGAH RISE PRIMARY SCHOOL,"1.27612047924037,103.808628535239",1989,"1.28393326234538,103.851463066212",20.26666667,ALEXANDRA CENTRAL,1485,TELOK BLANGAH MRT STATION (CC28),2221,104B DEPOT RD
104B EDGEFIELD PLAINS SINGAPORE 822104,"1.39660886204199,103.905303792463",RIVERVALE PRIMARY SCHOOL,"1.39340997767762,103.904559511997",845,"1.28393326234538,103.851463066212",37.38333333,RIVERVALE MALL,994,SENGKANG MRT STATION (NE16),1666,104B EDGEFIELD PLAINS
EASTBROOK @ CANBERRA,"1.44985632437762,103.83236697954",WELLINGTON PRIMARY SCHOOL,"1.45192019155475,103.822303719094",1479,"1.28393326234538,103.851463066212",41.91666667,CANBERRA PLAZA,974,CANBERRA MRT STATION (NS12),1023,104D CANBERRA ST
105 ALJUNIED CRESCENT SINGAPORE 380105,"1.31946862097465,103.882751492944",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",341,"1.28393326234538,103.851463066212",14.43333333,PAYA LEBAR SQUARE,1510,ALJUNIED MRT STATION (EW9),568,105 ALJUNIED CRES
KEBUN BARU HEIGHTS,"1.37231328287072,103.837601112788",CHIJ SAINT NICHOLAS GIRLS' SCHOOL,"1.37347687878916,103.834253269436",745,"1.28393326234538,103.851463066212",32.58333333,BROADWAY PLAZA,1259,YIO CHU KANG MRT STATION (NS15),1807,105 ANG MO KIO AVE 4
PEARL GARDEN,"1.33372280929,103.936517719048",RED SWASTIKA SCHOOL,"1.33324297847732,103.934332314404",375,"1.28393326234538,103.851463066212",29.5,DJITSUN MALL BEDOK,1512,BEDOK RESERVOIR MRT STATION (DT30),937,105 BEDOK NTH AVE 4
EUNOS VISTA,"1.32914437941094,103.909112780576",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",543,"1.28393326234538,103.851463066212",32.7,SINGAPORE POST CENTRE,3189,KAKI BUKIT MRT STATION (DT28),939,105 BEDOK RESERVOIR RD
BISHAN VIEW,"1.34589493632505,103.847365252767",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",658,"1.28393326234538,103.851463066212",23.98333333,JUNCTION 8,681,BRADDELL MRT STATION (NS18),2046,105 BISHAN ST 12
105 BUKIT BATOK CENTRAL SINGAPORE 650105,"1.3485726542005,103.747156223784",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",854,"1.28393326234538,103.851463066212",34.83333333,WEST MALL,569,BUKIT BATOK MRT STATION (NS2),357,105 BT BATOK CTRL
BUKIT PURMEI VILLE,"1.27248301325334,103.824703021719",RADIN MAS PRIMARY SCHOOL,"1.27495823622634,103.824188270373",407,"1.28393326234538,103.851463066212",17.76666667,VIVOCITY,1511,HARBOURFRONT MRT STATION (NE1 / CC29),1389,105 BT PURMEI RD
MOUNT PLEASANT ANIMAL MEDICAL CENTRE,"1.32271179028812,103.76988810369",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",1539,"1.28393326234538,103.851463066212",28.86666667,THE CLEMENTI MALL,1822,CLEMENTI MRT STATION (EW23),1747,105 CLEMENTI ST 12
105 GANGSA ROAD SINGAPORE 670105,"1.37831242120574,103.767763308976",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",551,"1.28393326234538,103.851463066212",35.95,BUKIT PANJANG PLAZA,630,BUKIT PANJANG MRT STATION (DT1),930,105 GANGSA RD
HENDERSONVILLE,"1.29021420176947,103.822356844711",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",397,"1.28393326234538,103.851463066212",13.86666667,TIONG BAHRU PLAZA,896,REDHILL MRT STATION (EW18),834,105 HENDERSON CRES
RAJAH COURT,"1.32826551427967,103.854154506034",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",1176,"1.28393326234538,103.851463066212",26.86666667,HDB HUB,1311,TOA PAYOH MRT STATION (NS19),1314,105 JLN RAJAH
JURONG EAST VILLE,"1.33738746819329,103.738527627347",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",288,"1.28393326234538,103.851463066212",32.38333333,JCUBE,722,JURONG EAST MRT STATION (EW24 / NS1),855,105 JURONG EAST ST 13
KEMBANGAN GARDENS,"1.32564831471452,103.91011217937",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",1226,"1.28393326234538,103.851463066212",26.03333333,SINGAPORE POST CENTRE,2548,KEMBANGAN MRT STATION (EW6),743,105 LENGKONG TIGA
105 PASIR RIS STREET 12 SINGAPORE 510105,"1.36843792148695,103.957538790848",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",507,"1.28393326234538,103.851463066212",43.8,LOYANG POINT,1092,PASIR RIS MRT STATION (EW1),1289,105 PASIR RIS ST 12
105 POTONG PASIR AVENUE 1 SINGAPORE 350105,"1.33442373227683,103.868696835165",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",677,"1.28393326234538,103.851463066212",19.95,THE POIZ CENTRE,427,POTONG PASIR MRT STATION (NE10),468,105 POTONG PASIR AVE 1
